iter	Passed	Remaining
700	8212	3502
701	8221	3489
702	8229	3476
703	8239	3464
704	8248	3451
705	8257	3438
706	8266	3426
707	8274	3412
708	8284	3400
709	8292	3387
710	8301	3374
711	8310	3361
712	8318	3348
713	8330	3336
714	8337	3323
715	8348	3311
716	8356	3298
717	8365	3285
718	8375	3273
719	8384	3260
720	8394	3248
721	8401	3235
722	8411	3222
723	8419	3209
724	8428	3197
725	8438	3184
726	8448	3172
727	8459	3160
728	8467	3147
729	8477	3135
730	8485	3122
731	8495	3110
732	8504	3097
733	8514	3085
734	8522	3072
735	8531	3060
736	8540	3047
737	8547	3034
738	8556	3022
739	8564	3009
740	8574	2997
741	8583	2984
742	8593	2972
743	8601	2959
744	8609	2947
745	8617	2934
746	8626	2921
747	8634	2909
748	8642	2896
749	8651	2883
750	8663	2872
751	8673	2860
752	8680	2847
753	8691	2835
754	8701	2823
755	8709	2811
756	8718	2798
757	8725	2785
758	8734	2773
759	8742	2760
760	8751	2748
761	8760	2736
762	8769	2723
763	8778	2711
764	8786	2699
765	8797	2687
766	8804	2674
767	8813	2662
768	8821	2649
769	8830	2637
770	8837	2624
771	8847	2612
772	8857	2600
773	8864	2588
774	8873	2576
775	8880	2563
776	8889	2551
777	8897	2538
778	8906	2526
779	8914	2514
780	8923	2502
781	8931	2489
782	8943	2478
783	8952	2466
784	8961	2454
785	8969	2442
786	8977	2429
787	8987	2417
788	8995	2405
789	9004	2393
790	9012	2381
791	9021	2369
792	9030	2357
793	9040	2345
794	9047	2333
795	9057	2321
796	9065	2309
797	9076	2297
798	9088	2286
799	9096	2274
800	9109	2263
801	9121	2252
802	9129	2239
803	9139	2228
804	9148	2216
805	9159	2204
806	9174	2194
807	9183	2182
808	9191	2170
809	9200	2158
810	9208	2146
811	9217	2134
812	9225	2121
813	9233	2109
814	9242	2097
815	9250	2085
816	9258	2073
817	9268	2062
818	9275	2049
819	9285	2038
820	9293	2026
821	9302	2014
822	9309	2002
823	9318	1990
824	9326	1978
825	9335	1966
826	9343	1954
827	9352	1942
828	9359	1930
829	9369	1918
830	9378	1907
831	9385	1895
832	9395	1883
